text,score,title,comment_word_len
The voice.... was quite stupid.,1,Republican ADMITS What Is Behind Killing Border Deal,5
This was NOT the deal proposed by Republicans.  They DID change the deal to include ridiculous liberal BS.,0,Republican ADMITS What Is Behind Killing Border Deal,18
CLOSE THE BORDER DEMOCRATS!!!! WE DONT NEED MORE ILLEGALS CROSSING!!!,0,Republican ADMITS What Is Behind Killing Border Deal,10
"So Biden wants open border? So liberals send buses will send you 12,000 illegals a day to you. You’re welcome !!!",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,21
What an idiot.  We want closed borders.   You are a dumb azz.  You dont know shiat,1,Republican ADMITS What Is Behind Killing Border Deal,16
"Look at how the world is on fire thanks to Biden. On the brink of ww3, inflation, Yemen actually has a naval blockade on US shipping, countries dumping the dollar, border crisis, and now states refusing to take orders from Biden. This country needs Trump back ASAP.",0,Republican ADMITS What Is Behind Killing Border Deal,47
This is exactly why no one would vote for this guy for anything. He has no idea what he’s talking about. Has no knowledge of the constitution. He sounds so uneducated. Room temp IQ moron,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,35
A piece of crap by any other name would spell Young Turks.,1,Republican ADMITS What Is Behind Killing Border Deal,12
"This channel, TYT is trash. TRASH……  unbelievable",1,Republican ADMITS What Is Behind Killing Border Deal,7
"F@ck this, Texas should fight this by any means",1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,9
Dude you talk around shit not worth a shit bruh...,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,10
Yall are fkin mental!,1,Republican ADMITS What Is Behind Killing Border Deal,4
The Republican Party has killed every border policy since the 1970s to use as a political football against the democrats,0,Republican ADMITS What Is Behind Killing Border Deal,20
Yawn. It seems that the  Young Turds have resurrected the old October Surprise gambit in a vain attempt to gloss over the Democrat's bumbling of the border security issue for more than a decade.,0,Republican ADMITS What Is Behind Killing Border Deal,34
These rules are all in place already,0,Republican ADMITS What Is Behind Killing Border Deal,7
Democrats want to destroy the USA because they are too stupid to see that they are being used as pawns by the WEF. 😂,1,Republican ADMITS What Is Behind Killing Border Deal,24
CLOSE THE DAM BORDER. terrorists pouring in.  The new bill will let more in. Insanity,0,Republican ADMITS What Is Behind Killing Border Deal,15
Remove all insecurectionist from government fuck trump 17senetors 34house members jenny thomas mark medows bill bar Kevin Mccarthy Mega mike All inserectionist.,1,Republican ADMITS What Is Behind Killing Border Deal,22
Cant wait for biden to get his dumb ass out of the Whitehouse..,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,13
Josh the roadrunner Hawley is a disappointment,0,Republican ADMITS What Is Behind Killing Border Deal,7
Who's this idiot with the fake impersonation?,1,Republican ADMITS What Is Behind Killing Border Deal,7
Governing?! What a moron you are!,1,Republican ADMITS What Is Behind Killing Border Deal,6
"Close the fuckin border.. unvetted, undocument people pouring into the country sucking the tit off the american worker taxpayjng dollars.. eat a dick",1,Republican ADMITS What Is Behind Killing Border Deal,23
"Bla bla bla says the talking head of the useful idiot working for the young turks named after the muslim murders of millions of Christian Armenians by crucifixion, beating, raping,burning alive, throwing off tall buildings just like the book of satan tells them 😢",1,Republican ADMITS What Is Behind Killing Border Deal,44
i repeat do not remove the wire,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,7
Ahhhh shut up you arrogant puke!,1,Republican ADMITS What Is Behind Killing Border Deal,6
Y’all reporting on lies too? Damn you MSM,1,Republican ADMITS What Is Behind Killing Border Deal,8
And this dude sounds like retardant as he talk  sound retardants hallloo😅,1,Republican ADMITS What Is Behind Killing Border Deal,12
It's a sell out not a deal. A showpiece that ingrains the problem while pretending to be a solution.,0,Republican ADMITS What Is Behind Killing Border Deal,19
What a stupid station -their thoughts are not logical!!!!,1,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,9
"It was a dog shit deal, you people suck.",1,Republican ADMITS What Is Behind Killing Border Deal,9
"The young turds, continuing to be on the wrong side",0,Republican ADMITS What Is Behind Killing Border Deal,10
"U sir are as dumb as a rock, it's because of people like you we're in this border delima SHHHHH!",1,Republican ADMITS What Is Behind Killing Border Deal,20
Ben shapiro is right hanna is wrong on this subject,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,10
The federal government isn't doing their job. That is why Texas took matters into their own hands. We are overrun by the immigrants  invasion at the southern border.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,28
"This ones a bozo! So, Dementia Joe who should have already done HIS JOB! And your voice of trying to do Trump shows how pathetic you lefty pedo lovers are! These are facts!",1,Republican ADMITS What Is Behind Killing Border Deal,33
Why deal with a creep letting our country be invaded? The country was closed 92 days under Carter,0,Republican ADMITS What Is Behind Killing Border Deal,18
Shut the hell up liars kiars liars,1,Republican ADMITS What Is Behind Killing Border Deal,7
"Did you notice how not one, but TWO republican judges scurried over to the enemy? The Cabal who rules this country, wants the illegals here. Both the left and the right work for the Cabal.",0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,35
"No surprise,Gop sucks",1,Republican ADMITS What Is Behind Killing Border Deal,3
"Republicans are insane, they can't even put their money where their mouth is. FOR WHAT? An orange wannabe Hitler. WTF is wrong with these morons?",1,Republican ADMITS What Is Behind Killing Border Deal,25
Oh you get the cuss on here but we don't you're such a lying fool it's hard to tell which side of your face you talk out of,1,Republican ADMITS What Is Behind Killing Border Deal,28
Can't wait till Trump is back.,0,SCOTUS Orders U.S. Southern Border Razor Wire To Be Cut,6
This whole board is a joke go home take your happy pills relax drink your magical tea you guys are nuts I'm blocking this crap,1,Republican ADMITS What Is Behind Killing Border Deal,25
"Laura Ingraham. You look white, but you are brown. Because You came out of an anus. No disrespect to brown Americans. They’re more respectable than you Laura. They make an honest living, you suck up peoples time with your rhetoric you fool",1,Republican ADMITS What Is Behind Killing Border Deal,42
