text,score
This Russia meddled in our election BS is beyond old. It's more like the deplorables rose up and aren't drinking the Left's kool aid any more.   The only thing threatening our democracy is the Left.,0.7
"Disgusting, a judge scared of being called a racist allows a rapist to get away. We are going to be like Sweden, total cucks and Islamics can do what they want.",0.724137931
The simple truth is that many people in the World just don't like Muslims and are suspicious of people who are Muslims. Any reflection by Muslims? No?,0.6
Rand Paul MAN UP. Accept the fact you got the crap beat outta you. All the libertarian BS you talk. This is how 2 men settle differences. Fight it out. The best MAN wins. Drop the charges and suck it up.,0.7285714286
"So... Justin says rich people paid $1,500 for the privilege of being told their taxes will go up. Hmmm... how stupid does Junior think we are to believe that?",0.612244898
"The corrupt Rodham and Clinton interests have provided cynical fuel to those supporting Trump as they see a double standard underscored by a coastal media, the Obama DOJ and former FBI Director Comey,  that appear to have drawn a defensive wall around  Rodham/Clinton Incorporated.",0.0
"Try the number 5 million, you idiots.",0.9
"Sorry, mini-Trump will only make those like him richer at the expense of fools who see him as their saviour....oh wait, how did he get to the top already without having been elected to anything?",0.7
"Start with the anti-semite, Soros, you naive bytch.",0.609375
Yet once again confirmed that Trump is an idiot.  open mind my a$$. there has never been and never will be an ever more narcissistic self-centered blowhard President.,0.7258064516
"you know why they call him Killer Cain don't you....because of his stupidity 30 plus Sailors had to die....and he almost sunk the ship...but his daddy was an admiral, with out honor",0.625
Good lord who voted for this giant clown . Trudeau can go jump off a bridge.,0.8
"Regardless of your position on the protests, you better believe that the outrage from fans had something to do with this change of heart.",0.0
"Stay out of politics, maybe should go to Syria and preacher your  nonsense.  Just go to Europe and try that on for size. You would be the first one they behead.",0.6857142857
McCain is a mentally ill moron.  Why Arizona keeps sending this fool to DC is a mystery.,0.8666666667
Wonder if he will share it with his family who are on welfare or will they keep drawing welfare?,0.0
Come live in a big city like Toronto where unusual names are not uncommon.   Sounds like (the relatively) small town (of) St. John's is not ready for you!,0.0
I am please he is not wasting time on this. Now he can focus on a balanced budget and pay off some debt instead of having it look after itself.,0.0
Just a damned political witch hunt for political purposes by people who lost the election.  Total attempt to violate First Amendemnt rights.,0.6
TAR & FEATHERS for these elite Robber Barons. out of touch! Petition to pull all benefits from Gov Walker and his Crew after we force them out  for theft.,0.0
The rancour and deeply divisive comments by Liberal MPs whose attempts to portray Canadians who raise questions as racists is undistilled arrogance,0.5
wench and evil whore of the first order,0.7966101695
Screw you broncos - millionaire crybabies and owners trying to backpedal now... too late,0.6666666667
"Madcain you are a P O S , no one cares what you say ! ! BUFFOON ! !",0.7735849057
Someone should tell him to stop embarrasing himself and retire already.,0.5
"Why do I feel that despite overwhelming exasperation and mistrust on the street regarding the bill, it is most likely to pass in the parliament?",0.0
mcain you have become the clown in IT! spinning your web of jealousy as american voters spurned you in 08! you are a bitter old man and should retire before you stain yourself further!,0.6376811594
Who demanded that the final paragraph be added to make a drive by swipe at Trump?  Was that required by the Globe to get published?,0.0
"More like a malignant media, thank you very much.  You and your accomplices are sickening and insulting.",0.7236842105
We've become such a silly country.,0.619047619
Ooooh...I hate football now cause the Orange Clown told me to.,0.5423728814
His Senate colleagues don't call him McNasty for nothing.,0.0
You mean another chance to self promote ? Too late for that. Can we have our money back ?,0.0
Foreign donations to Trudeau Fondation jumped dramatically since JT became PM.  http://news.nationalpost.com/news/canada/canadian-politics/money-began-to-rain-on-trudeau-foundation-once-justin-took-over-liberals-analysis-shows    Raises further questions about pay-to-play.,0.0
Dems lie like rugs and destroy everything they touch. Dems are the party of lies evil lawlessness joblessness hopelessness misery dependency hypocrisy racism and debt. Period.,0.6
Can we IMPEACH Trudeau and this nasty bunch of LIEberals?,0.5428571429
Did the person who gave you the tip demand to be called deepthroat?,0.5
"A commie Jew like (((Weintraub))) trying to restrict freedom of speech for the filthy goyim? I'm shocked, I tell you, shocked!",0.7448275862
The right wingers seem to forget quite a few people in the NFL are former and active military.  Pretty disrespectful for them to forget that.,0.0
"Extreme leftist Democrats are getting more violent and murderous by the day, and they actually expect law abiding Americans to disarm. Come and get em lefties.",0.6
"Historical figures all have faults.  What we now recognize as yesterday's folly or worse may well have been the norm in the past.   This distinction can be taught.  Without it, we would not teach history in schools at all",0.0
If she woulda switched to new cast iron cauldron instead of that old lead one she's been using things would have been better.,0.0
She accuses conservatives of being the worst offenders in the misogyny department. McKenna must have forget about Liberal M.P. Nicola Diloria's comment about a conservative M.P. being a stripper.  And Liberal Darshan Kang faces sexual harrasment allegations as Liberal M.P.  But no it is those conservatives that are the worst.,0.6
A Trump twitter fit at 5:30 a.m.!  Is this the result of early morning constipation or is Trump just a total loon?,0.5
"Hate crime my ass. More like, Americans hate being terrorized by citizens of nations that send their criminals to North America.",0.9
"Liberals are throwing a hissy fit because they got their clocks cleaned by a reality TV star.  Nothing more, nothing less.  Shameful.",0.7
Is this guy for real?  Did he actually say that with a straight face?  Does he honestly think Canadians are stupid enough to believe this bullshit?,0.9166666667
"This loser can't even spell a simple word like tap, are you happy now America?",0.6285714286
"Oh, the fun you can get watching conservatives playing in the sandbox! Seriously, guys. Get a life!",0.0
What message?   Grab her by the P....? Mexicans are rapists?  I don't think that's a good idea.,0.7285714286
"Pro ball has been banned in our house.  it's high school, college or nothing !!!!",0.0
this ain't Watergate so quit trying to be meaningful you old chute,0.2
The msm is all fake news,0.0
I'm ok with really idiotic ideas being persecuted.. mock away..,0.6666666667
"McCain calling Trump impulsive ???  That's rich. Johnny is still suffering from Stockholm Syndrome.  After Obama bitch slapped him 2 weeks in to his first Reich, telling him to sit down and shut up, because he lost.",0.625
"'Bernstein, best known for his investigative reporting that shed light on the Watergate scandal'  More like 'ONLY known for'.....",0.0
Remove all neocon democrat like republicans in 2018,0.6
"One word - Jealousy. It can consume a person, or a party.",0.0
Failed? Someone is failing. Please pull it out. We already have too many stupid.,0.8548387097
"These idiots need to watch this.  They want an easy way to prove the Earth is not flat, do what this kid did.  He put a camera on a weather balloon and then made a youtube video.  Pretty cool! https://youtu.be/veqJART9XBA",0.8181818182
"Of all the stupidities that the Liberals have committed, the tweet to invite all refugees to come to Canada to get fed and housed takes the cake.",0.7
"Scientists (NASA included) BEGGED congress years ago to appropriate funds and shield the grid as well as ensure backup parts (transformers especially), for the eventuality of a solar flare, to no avail.",0.0
"The media is simply a collection of ill informed clowns, who suckled at the teat of equally as ignorant 'educators', disguised as enlightened college professors.  Their reality is as legitimate as Fantasyland is in Disneyland.  Bernstein.....what a fool.",0.8591549296
There goes the neighborhood... don't forget (how) to write...,0.0
"Too late....once you have the balls to admit publicly you were wrong with your kneeling BS, I may consider coming back.",0.5
Cry me a river.,0.0
"Unite around Trump, you are nuts!",0.7384615385
I don't think this is a new position so much as a new sincerity: neither of the ministers he assigned to this file had any previous electoral experience.,0.0
The american people are worried about the malignancy which exists in the msm.  Funny how Carl had nothing to say about the malignant lack of reporting the msm exhibited in not reporting the many transgression's  comited by that anti american president obozo and the democratic party.,0.2
the feminization of Canada via the press and school systems continues,0.2
"Islam is itself a hate belief system.  Is not one of the core tenets preached my Muhammad the annihilation of all infidels.  I am an infidel.  Therefore, Muslims are taught, I must be eliminated.  Am I not one of the victims of an Islamic hate crime?",0.625
I find it ironic that those responsible for educating the youth are trying to obscure and rewrite history  Teachers Union needs to be broken up,0.0
Told you so.  Saw some Trump campaign signs removed over-night in Republican yards.,0.0
OMG.... stop the movement.,0.0
"Stop trudeau, stop wynne.   Stop the elitist liberal globalization of the world.",0.2
McCain is a big Giant Douche Nozzle who has no power and no influence in our country and many Americans are hoping for his hasty demise due to cancer. He DOES NOT SPEAK FOR AMERICANS and anyone dealing with him is spinning their wheels.,0.5
it is a waste of time and meaningless left wing nonsense.,0.5
censored so repost  I find it rich coming from the coward Romeo and the terrorist sycophant Neve. Both self serving in different ways Romeo to try and ease his conscience for allowing innocents to be slaughtered Neve for trying to justify his useless organization while collecting a fat salary,0.3
Obama phone tapped Angela Merkel too. Of course he denied that as well.,0.0
"How about Justin Trudeau and the Canadian Government apologize to the Speer and Morris families, and provide a cash payment to them as well.",0.0
"Personally? I want to see WALKER RAN OUT OF OFFICE!!!! Lets IMPEACH HIM!!!!! This troll has ZERO thought of Alaska, its only for their FAT POCKETS!!!",0.5373134328
"She is dead, brain dead!",0.5142857143
What a disgusting little loser.  Please go away McCain.  You're disgusting.,0.7818181818
Can we quit hearing about this now?,0.0
Junior has made the right call here. The only support for PR comes from bust-outs who would like more gummint redistribution coming their way.....,0.0
"Carl, President Trump is giving us a different kind of presidency to take on the the malignant press.  I'm sure that's what you meant to so, but you are old and confused.",0.5
"Back to your panic closet steve, nice hair piece though.",0.0
Leave Canada Khadr. You and your family of leeches. Take that coward Trudeau with you. His love of terrorists needs to end.,0.6060606061
What is the new sale price for Canada? Will it be quoted in yuan or Canadian dollars?,0.0
Sounds like he over reacted. Do the keyboard tough guys threatening him have the balls to reveal themselves though?,0.5
Bob Corker is a degenerate pervert that somehow got elected 2 US Senate. First he shud go phuchimself then hang self!,0.75
That woman has to be brain dead. Trump should be barred from Canada.,0.7
It's not for nothing that they call it the silly season.,0.5
All this organized opposition makes you wonder where all these women were when there was a chance to express one's opinion where it mattered - in a voting booth.   Trump may be a chump but Democrats have certainly been poor losers.,0.6621621622
"Stephan Harper - just a twerp.  Was, is and always will be.",0.7258064516
How was John A. supposed to know that the teachers at the residential schools would rape and beat the children placed in their charge?  I call for an immediate disbanding of all teacher's unions!,0.5
"What I am concerned with is with the stupidity of liberals who listened to this bias liberal activist who thinks he is better than anyone else. Well, that is a plague among the elite liberal, they think they are better than anyone else.",0.5
"Simple solution, as we are supposedly a democratic country. Those of you who sympathize...pay him out of your own pockets. Those of us who do not...let JT make another apology...who cares. Easy peasy.",0.0
And what amount of compensation will this government give the family of the man he killed?  What a complete farce.  We are now rewarding a member of the Taliban.,0.3
"Thanks Steve. You always were a good Republican. Just a reminder: we voted you out. Please stay out. I for one have full confidence in the government's handling of NAFTA. Lastly, my recollection of your handling of softwood was instant capitulation.",0.0
This was a dead issue until Trump started fanning the racist flames. In a month they'll be whining about the make believe 'war on christmas'.,0.4
"...also, if you hold a fork up over your head you will get better cell phone reception...",0.0
MC Cain and his fornicating tramp marriage breaking wife are traitors to the founding principles of our nation.  Way past time for this cadaverous old senile fool to go far away.,0.825
This old useless creep is as delusional as thy come.,0.7666666667
Make El Chapo pay for the wall. If he does he won't be waterboarded 23 hours a day.,0.1666666667
